Loading channels: ...working... done
scipy                         1.10.0  py38h0f6ee2a_2  conda-forge         
scipy                         1.10.0  py38h321e85e_0  pkgs/main           
scipy                         1.10.0  py38h321e85e_1  pkgs/main           
scipy                         1.10.0  py38h97de6bb_2  conda-forge         
scipy                         1.10.0  py39h1425bf8_2  conda-forge         
scipy                         1.10.0  py39h321e85e_0  pkgs/main           
scipy                         1.10.0  py39h321e85e_1  pkgs/main           
scipy                         1.10.0  py39hfbf2dce_0  conda-forge         
scipy                         1.10.0  py39hfbf2dce_2  conda-forge         
scipy                         1.10.1 py310h309d312_1  pkgs/main           
scipy                         1.10.1 py310h578b7cb_0  conda-forge         
scipy                         1.10.1 py310h578b7cb_1  conda-forge         
scipy                         1.10.1 py310h578b7cb_2  conda-forge         
scipy                         1.10.1 py310h578b7cb_3  conda-forge         
scipy                         1.10.1 py310hb9afe5d_0  pkgs/main           
scipy                         1.10.1 py311h026d2c1_0  pkgs/main           
scipy                         1.10.1 py311h37ff6ca_0  conda-forge         
scipy                         1.10.1 py311h37ff6ca_1  conda-forge         
scipy                         1.10.1 py311h37ff6ca_2  conda-forge         
scipy                         1.10.1 py311h37ff6ca_3  conda-forge         
scipy                         1.10.1 py311hc1ccb85_1  pkgs/main           
scipy                         1.10.1  py38h0f6ee2a_0  conda-forge         
scipy                         1.10.1  py38h1aea9ed_0  conda-forge         
scipy                         1.10.1  py38h1aea9ed_1  conda-forge         
scipy                         1.10.1  py38h1aea9ed_2  conda-forge         
scipy                         1.10.1  py38h1aea9ed_3  conda-forge         
scipy                         1.10.1  py38h321e85e_0  pkgs/main           
scipy                         1.10.1  py38h97de6bb_0  conda-forge         
scipy                         1.10.1  py38ha8eff9c_0  conda-forge         
scipy                         1.10.1  py38ha8eff9c_1  conda-forge         
scipy                         1.10.1  py38ha8eff9c_2  conda-forge         
scipy                         1.10.1  py38ha8eff9c_3  conda-forge         
scipy                         1.10.1  py38hdcfc7df_1  pkgs/main           
scipy                         1.10.1  py39h1425bf8_0  conda-forge         
scipy                         1.10.1  py39h321e85e_0  pkgs/main           
scipy                         1.10.1  py39hbf2a3dc_0  conda-forge         
scipy                         1.10.1  py39hbf2a3dc_1  conda-forge         
scipy                         1.10.1  py39hbf2a3dc_2  conda-forge         
scipy                         1.10.1  py39hbf2a3dc_3  conda-forge         
scipy                         1.10.1  py39hdcfc7df_1  pkgs/main           
scipy                         1.10.1  py39hde5eda1_0  conda-forge         
scipy                         1.10.1  py39hde5eda1_1  conda-forge         
scipy                         1.10.1  py39hde5eda1_2  conda-forge         
scipy                         1.10.1  py39hde5eda1_3  conda-forge         
scipy                         1.10.1  py39hfbf2dce_0  conda-forge         
scipy                         1.11.0 py310h578b7cb_0  conda-forge         
scipy                         1.11.0 py311h37ff6ca_0  conda-forge         
scipy                         1.11.0  py39hbf2a3dc_0  conda-forge         
scipy                         1.11.0  py39hde5eda1_0  conda-forge         
scipy                         1.11.1 py310h309d312_0  pkgs/main           
scipy                         1.11.1 py310h578b7cb_0  conda-forge         
scipy                         1.11.1 py311h37ff6ca_0  conda-forge         
scipy                         1.11.1 py311hc1ccb85_0  pkgs/main           
scipy                         1.11.1  py39h309d312_0  pkgs/main           
scipy                         1.11.1  py39hbf2a3dc_0  conda-forge         
scipy                         1.11.1  py39hde5eda1_0  conda-forge         
scipy                         1.11.2 py310h578b7cb_0  conda-forge         
scipy                         1.11.2 py310h70e3499_1  conda-forge         
scipy                         1.11.2 py311h37ff6ca_0  conda-forge         
scipy                         1.11.2 py311h37ff6ca_1  conda-forge         
scipy                         1.11.2  py39h7812ad6_1  conda-forge         
scipy                         1.11.2  py39hbf2a3dc_0  conda-forge         
scipy                         1.11.2  py39hde5eda1_0  conda-forge         
scipy                         1.11.3 py310h309d312_0  pkgs/main           
scipy                         1.11.3 py310h70e3499_0  conda-forge         
scipy                         1.11.3 py310hf667824_1  conda-forge         
scipy                         1.11.3 py311h0b4df5a_1  conda-forge         
scipy                         1.11.3 py311h37ff6ca_0  conda-forge         
scipy                         1.11.3 py311hc1ccb85_0  pkgs/main           
scipy                         1.11.3 py312h3d2928d_0  pkgs/main           
scipy                         1.11.3 py312h8753938_1  conda-forge         
scipy                         1.11.3  py39h309d312_0  pkgs/main           
scipy                         1.11.3  py39h7812ad6_0  conda-forge         
scipy                         1.11.3  py39h8c8c241_0  conda-forge         
scipy                         1.11.3  py39hd5b4b07_1  conda-forge         
scipy                         1.11.3  py39hddb5d58_1  conda-forge         
scipy                         1.11.4 py310h309d312_0  pkgs/main           
scipy                         1.11.4 py310hf667824_0  conda-forge         
scipy                         1.11.4 py311h0b4df5a_0  conda-forge         
scipy                         1.11.4 py311hc1ccb85_0  pkgs/main           
scipy                         1.11.4 py312h8753938_0  conda-forge         
scipy                         1.11.4  py39h309d312_0  pkgs/main           
scipy                         1.11.4  py39hd5b4b07_0  conda-forge         
scipy                         1.11.4  py39hddb5d58_0  conda-forge         
scipy                         1.12.0 py310h8640f81_0  pkgs/main           
scipy                         1.12.0 py310hf667824_0  conda-forge         
scipy                         1.12.0 py310hf667824_1  conda-forge         
scipy                         1.12.0 py310hf667824_2  conda-forge         
scipy                         1.12.0 py311h0b4df5a_0  conda-forge         
scipy                         1.12.0 py311h0b4df5a_1  conda-forge         
scipy                         1.12.0 py311h0b4df5a_2  conda-forge         
scipy                         1.12.0 py311h9f229c6_0  pkgs/main           
scipy                         1.12.0 py312h8753938_0  conda-forge         
scipy                         1.12.0 py312h8753938_1  conda-forge         
scipy                         1.12.0 py312h8753938_2  conda-forge         
scipy                         1.12.0 py312hbb039d4_0  pkgs/main           
scipy                         1.12.0  py39h8640f81_0  pkgs/main           
scipy                         1.12.0  py39hd5b4b07_0  conda-forge         
scipy                         1.12.0  py39hd5b4b07_1  conda-forge         
scipy                         1.12.0  py39hd5b4b07_2  conda-forge         
scipy                         1.12.0  py39hddb5d58_0  conda-forge         
scipy                         1.12.0  py39hddb5d58_1  conda-forge         
scipy                         1.12.0  py39hddb5d58_2  conda-forge         
scipy                         1.13.0 py310h46043a1_1  conda-forge         
scipy                         1.13.0 py310h8640f81_0  pkgs/main           
scipy                         1.13.0 py310hf667824_0  conda-forge         
scipy                         1.13.0 py311h0b4df5a_0  conda-forge         
scipy                         1.13.0 py311h9f229c6_0  pkgs/main           
scipy                         1.13.0 py311hd4686c6_1  conda-forge         
scipy                         1.13.0 py312h1f4e10d_1  conda-forge         
scipy                         1.13.0 py312h8753938_0  conda-forge         
scipy                         1.13.0 py312hbb039d4_0  pkgs/main           
scipy                         1.13.0  py39h1a10956_1  conda-forge         
scipy                         1.13.0  py39h8640f81_0  pkgs/main           
scipy                         1.13.0  py39hddb5d58_0  conda-forge         
scipy                         1.13.1 py310h46043a1_0  conda-forge         
scipy                         1.13.1 py310h8640f81_0  pkgs/main           
scipy                         1.13.1 py311h9f229c6_0  pkgs/main           
scipy                         1.13.1 py311hd4686c6_0  conda-forge         
scipy                         1.13.1 py312h1f4e10d_0  conda-forge         
scipy                         1.13.1 py312hbb039d4_0  pkgs/main           
scipy                         1.13.1  py39h1a10956_0  conda-forge         
scipy                         1.13.1  py39h8640f81_0  pkgs/main           
scipy                         1.14.0 py310h46043a1_0  conda-forge         
scipy                         1.14.0 py310h46043a1_1  conda-forge         
scipy                         1.14.0 py310h46043a1_2  conda-forge         
scipy                         1.14.0 py311hd4686c6_0  conda-forge         
scipy                         1.14.0 py311hd4686c6_1  conda-forge         
scipy                         1.14.0 py311hd4686c6_2  conda-forge         
scipy                         1.14.0 py312h1f4e10d_0  conda-forge         
scipy                         1.14.0 py312h1f4e10d_1  conda-forge         
scipy                         1.14.0 py312h1f4e10d_2  conda-forge         
scipy                         1.14.1 py310h46043a1_0  conda-forge         
scipy                         1.14.1 py310h8640f81_0  pkgs/main           
scipy                         1.14.1 py310hbd0dde3_1  conda-forge         
scipy                         1.14.1 py311h9f229c6_0  pkgs/main           
scipy                         1.14.1 py311hd4686c6_0  conda-forge         
scipy                         1.14.1 py311hf16d85f_1  conda-forge         
scipy                         1.14.1 py312h1f4e10d_0  conda-forge         
scipy                         1.14.1 py312h337df96_1  conda-forge         
scipy                         1.14.1 py312h9d85e7c_0  pkgs/main           
scipy                         1.14.1 py313h16bbbb2_1  conda-forge         
scipy                         1.14.1 py313hd4070db_0  pkgs/main           
scipy                         1.14.1 py313hdf33807_0  conda-forge         
