Loading channels: ...working... done
# Name                       Version           Build  Channel             
conda                         4.10.1  py38haa95532_1  pkgs/main           
conda                         4.10.1  py39haa95532_1  pkgs/main           
conda                         4.10.1  py39hcbf5309_0  conda-forge         
conda                         4.10.2  py36ha15d459_0  conda-forge         
conda                         4.10.2  py37h03978a9_0  conda-forge         
conda                         4.10.2  py38haa244fe_0  conda-forge         
conda                         4.10.2  py39hcbf5309_0  conda-forge         
conda                         4.10.3 py310h5588dad_4  conda-forge         
conda                         4.10.3 py310haa95532_0  pkgs/main           
conda                         4.10.3  py36ha15d459_0  conda-forge         
conda                         4.10.3  py36ha15d459_1  conda-forge         
conda                         4.10.3  py36ha15d459_2  conda-forge         
conda                         4.10.3  py36haa95532_0  pkgs/main           
conda                         4.10.3  py37h03978a9_0  conda-forge         
conda                         4.10.3  py37h03978a9_1  conda-forge         
conda                         4.10.3  py37h03978a9_2  conda-forge         
conda                         4.10.3  py37h03978a9_3  conda-forge         
conda                         4.10.3  py37h03978a9_4  conda-forge         
conda                         4.10.3  py37haa95532_0  pkgs/main           
conda                         4.10.3  py38haa244fe_0  conda-forge         
conda                         4.10.3  py38haa244fe_1  conda-forge         
conda                         4.10.3  py38haa244fe_2  conda-forge         
conda                         4.10.3  py38haa244fe_3  conda-forge         
conda                         4.10.3  py38haa244fe_4  conda-forge         
conda                         4.10.3  py38haa95532_0  pkgs/main           
conda                         4.10.3  py39haa95532_0  pkgs/main           
conda                         4.10.3  py39hcbf5309_0  conda-forge         
conda                         4.10.3  py39hcbf5309_1  conda-forge         
conda                         4.10.3  py39hcbf5309_2  conda-forge         
conda                         4.10.3  py39hcbf5309_3  conda-forge         
conda                         4.10.3  py39hcbf5309_4  conda-forge         
conda                         4.11.0 py310h5588dad_0  conda-forge         
conda                         4.11.0 py310h5588dad_1  conda-forge         
conda                         4.11.0 py310h5588dad_2  conda-forge         
conda                         4.11.0  py37h03978a9_0  conda-forge         
conda                         4.11.0  py37h03978a9_1  conda-forge         
conda                         4.11.0  py37h03978a9_2  conda-forge         
conda                         4.11.0  py37haa95532_0  pkgs/main           
conda                         4.11.0  py38haa244fe_0  conda-forge         
conda                         4.11.0  py38haa244fe_1  conda-forge         
conda                         4.11.0  py38haa244fe_2  conda-forge         
conda                         4.11.0  py38haa95532_0  pkgs/main           
conda                         4.11.0  py39haa95532_0  pkgs/main           
conda                         4.11.0  py39hcbf5309_0  conda-forge         
conda                         4.11.0  py39hcbf5309_1  conda-forge         
conda                         4.11.0  py39hcbf5309_2  conda-forge         
conda                         4.12.0 py310h5588dad_0  conda-forge         
conda                         4.12.0 py310haa95532_0  pkgs/main           
conda                         4.12.0  py37h03978a9_0  conda-forge         
conda                         4.12.0  py37haa95532_0  pkgs/main           
conda                         4.12.0  py38haa244fe_0  conda-forge         
conda                         4.12.0  py38haa95532_0  pkgs/main           
conda                         4.12.0  py39haa95532_0  pkgs/main           
conda                         4.12.0  py39hcbf5309_0  conda-forge         
conda                         4.13.0 py310h5588dad_1  conda-forge         
conda                         4.13.0 py310h5588dad_2  conda-forge         
conda                         4.13.0 py310haa95532_0  pkgs/main           
conda                         4.13.0  py37h03978a9_1  conda-forge         
conda                         4.13.0  py37haa95532_0  pkgs/main           
conda                         4.13.0  py38haa244fe_1  conda-forge         
conda                         4.13.0  py38haa244fe_2  conda-forge         
conda                         4.13.0  py38haa95532_0  pkgs/main           
conda                         4.13.0  py39haa95532_0  pkgs/main           
conda                         4.13.0  py39hcbf5309_1  conda-forge         
conda                         4.13.0  py39hcbf5309_2  conda-forge         
conda                         4.14.0 py310h5588dad_0  conda-forge         
conda                         4.14.0 py310haa95532_0  pkgs/main           
conda                         4.14.0  py37h03978a9_0  conda-forge         
conda                         4.14.0  py37haa95532_0  pkgs/main           
conda                         4.14.0  py38h32ec214_0  conda-forge         
conda                         4.14.0  py38haa244fe_0  conda-forge         
conda                         4.14.0  py38haa95532_0  pkgs/main           
conda                         4.14.0  py39h0d475fb_0  conda-forge         
conda                         4.14.0  py39haa95532_0  pkgs/main           
conda                         4.14.0  py39hcbf5309_0  conda-forge         
conda                         22.9.0 py310h5588dad_0  conda-forge         
conda                         22.9.0 py310h5588dad_1  conda-forge         
conda                         22.9.0 py310h5588dad_2  conda-forge         
conda                         22.9.0 py310haa95532_0  pkgs/main           
conda                         22.9.0 py311h1ea47a8_2  conda-forge         
